#-t-Fk-Fk2-stdev-sterr
0.000000 1.0000000000 -nan -nan
12.000000 0.9809918984 0.0089901817 0.0014395812
13.000000 0.9802629275 0.0086597872 0.0013866757
14.000000 0.9804218239 0.0095525937 0.0015296392
15.000000 0.9799178968 0.0089445454 0.0014322735
16.000000 0.9798912692 0.0087964782 0.0014085638
17.000000 0.9794043471 0.0105641006 0.0016916099
18.000000 0.9789600285 0.0100110826 0.0016030562
19.000000 0.9786011536 0.0099567996 0.0015943639
20.000000 0.9781460088 0.0106836929 0.0017107600
21.000000 0.9786404881 0.0108258231 0.0017335191
22.000000 0.9773650250 0.0117830855 0.0018868037
23.000000 0.9777627049 0.0113903252 0.0018239117
24.000000 0.9772771178 0.0110198267 0.0017645845
25.000000 0.9765499315 0.0105344808 0.0016868670
26.000000 0.9764171089 0.0119099956 0.0019071256
27.000000 0.9750267095 0.0110200653 0.0017646227
28.000000 0.9749145671 0.0119387712 0.0019117334
29.000000 0.9742077724 0.0111595130 0.0017869522
30.000000 0.9736419289 0.0115437910 0.0018484859
40.000000 0.9701526257 0.0128352701 0.0020552881
50.000000 0.9702710174 0.0146391756 0.0023441442
60.000000 0.9664609405 0.0161044031 0.0025787683
70.000000 0.9652479289 0.0162423515 0.0026008578
80.000000 0.9602250143 0.0177957395 0.0028495989
90.000000 0.9592122782 0.0179256683 0.0028704042
100.000000 0.9607540441 0.0152732235 0.0024456731
110.000000 0.9585958776 0.0166853928 0.0026718011
120.000000 0.9577884005 0.0175865729 0.0028161055
130.000000 0.9519006026 0.0194340792 0.0031119432
140.000000 0.9506466470 0.0182407530 0.0029208581
150.000000 0.9509560025 0.0174620383 0.0027961640
160.000000 0.9496722866 0.0171767185 0.0027504762
170.000000 0.9512009955 0.0189204034 0.0030296893
180.000000 0.9505180004 0.0179973673 0.0028818852
190.000000 0.9471794077 0.0187428066 0.0030012510
200.000000 0.9449244113 0.0178525879 0.0028587019
210.000000 0.9424119494 0.0177842669 0.0028477618
220.000000 0.9427980606 0.0184503426 0.0029544193
230.000000 0.9413262067 0.0193519453 0.0030987913
240.000000 0.9422499164 0.0203930433 0.0032655004
250.000000 0.9417083529 0.0198607398 0.0031802636
260.000000 0.9394638845 0.0215678368 0.0034536179
270.000000 0.9370259032 0.0206185485 0.0033016101
280.000000 0.9356933934 0.0219280444 0.0035112973
290.000000 0.9335149945 0.0226684335 0.0036298544
300.000000 0.9342841456 0.0225090130 0.0036043267
400.000000 0.9254298410 0.0243485106 0.0038988820
500.000000 0.9174242079 0.0260266887 0.0041676056
600.000000 0.9072272867 0.0255936216 0.0040982594
700.000000 0.9033884701 0.0258787524 0.0041439168
800.000000 0.8982424902 0.0243821389 0.0039042669
900.000000 0.8931435044 0.0263272989 0.0042157418
1000.000000 0.8909596963 0.0315645931 0.0050543800
1100.000000 0.8883714903 0.0236294101 0.0037837338
1200.000000 0.8924062168 0.0241374138 0.0038650795
1300.000000 0.8924429250 0.0269014196 0.0043076747
1400.000000 0.8844846196 0.0273932763 0.0043864348
1500.000000 0.8883906780 0.0293496556 0.0046997062
1600.000000 0.8853298555 0.0335282449 0.0053688160
1700.000000 0.8804304916 0.0256484935 0.0041070459
1800.000000 0.8784633266 0.0263930716 0.0042262738
1900.000000 0.8732868526 0.0286658416 0.0045902083
2000.000000 0.8665743815 0.0332019033 0.0053165595
2100.000000 0.8642925576 0.0392578288 0.0062862836
2200.000000 0.8640258288 0.0380954759 0.0061001582
2300.000000 0.8580719010 0.0387612700 0.0062067706
2400.000000 0.8627688927 0.0404702142 0.0064804207
2500.000000 0.8561262482 0.0413894598 0.0066276178
2600.000000 0.8532016027 0.0341954399 0.0054756527
2700.000000 0.8494578657 0.0321081240 0.0051414146
2800.000000 0.8478000472 0.0338856417 0.0054260452
2900.000000 0.8494490751 0.0380529135 0.0060933428
3000.000000 0.8456915075 0.0339034338 0.0054288943
4000.000000 0.8220755167 0.0417351111 0.0066829663
5000.000000 0.8141365264 0.0536698632 0.0085940561
6000.000000 0.8042971391 0.0665705062 0.0106598123
7000.000000 0.7931065864 0.0604327059 0.0096769776
8000.000000 0.7732174829 0.0763841683 0.0122312558
9000.000000 0.7578776206 0.0820040425 0.0131311559
10000.000000 0.7540605610 0.0714157685 0.0114356752
11000.000000 0.7398802686 0.0938781185 0.0150325298
12000.000000 0.7168257012 0.1182335934 0.0189325270
13000.000000 0.7166867969 0.1224311244 0.0196046699
14000.000000 0.7060316578 0.1377757645 0.0220617788
15000.000000 0.6958984413 0.1405941499 0.0225130817
