#-t-Fk-Fk2-stdev-sterr
0.000000 1.0000000000 -nan -nan
0.010000 0.9999721797 0.0001453857 0.0000303150
0.020000 0.9998822657 0.0002953549 0.0000615857
0.030000 0.9997367173 0.0004531563 0.0000944896
0.040000 0.9995450500 0.0006185946 0.0001289859
0.050000 0.9993175028 0.0007898708 0.0001646995
0.060000 0.9990635414 0.0009656826 0.0002013587
0.070000 0.9987913586 0.0011460550 0.0002389690
0.080000 0.9985076251 0.0013317729 0.0002776939
0.090000 0.9982173527 0.0015230004 0.0003175675
0.100000 0.9979238620 0.0017182165 0.0003582729
0.110000 0.9976291027 0.0019144691 0.0003991944
0.120000 0.9973345404 0.0021086304 0.0004396798
0.130000 0.9970423147 0.0022987152 0.0004793152
0.140000 0.9967559163 0.0024846417 0.0005180836
0.150000 0.9964800095 0.0026675985 0.0005562327
0.160000 0.9962194534 0.0028481810 0.0005938868
0.170000 0.9959780826 0.0030252408 0.0006308063
0.180000 0.9957580373 0.0031964007 0.0006664956
0.190000 0.9955597777 0.0033590405 0.0007004084
0.200000 0.9953824161 0.0035108054 0.0007320535
0.210000 0.9952242339 0.0036497866 0.0007610331
0.220000 0.9950831564 0.0037749546 0.0007871324
0.230000 0.9949572458 0.0038867302 0.0008104393
0.240000 0.9948451662 0.0039868093 0.0008313072
0.250000 0.9947462043 0.0040773295 0.0008501820
0.260000 0.9946595765 0.0041605063 0.0008675255
0.270000 0.9945834887 0.0042386808 0.0008838260
0.280000 0.9945148000 0.0043139715 0.0008995252
0.290000 0.9944494425 0.0043877293 0.0009149048
0.300000 0.9943828081 0.0044602884 0.0009300344
0.400000 0.9932562816 0.0048979520 0.0010212936
0.500000 0.9925520151 0.0049817888 0.0010387748
0.600000 0.9917155147 0.0052901012 0.0011030624
0.700000 0.9913271458 0.0056990328 0.0011883305
0.800000 0.9910421186 0.0059655206 0.0012438970
0.900000 0.9911001090 0.0060519157 0.0012619117
1.000000 0.9911289085 0.0059906940 0.0012491460
1.100000 0.9912309690 0.0059324796 0.0012370075
1.200000 0.9911859383 0.0059911806 0.0012492475
1.300000 0.9909798445 0.0062045444 0.0012937369
1.400000 0.9911715601 0.0065909003 0.0013742977
1.500000 0.9906036040 0.0066965007 0.0013963169
1.600000 0.9901696238 0.0072278349 0.0015071078
1.700000 0.9896719033 0.0078912321 0.0016454356
1.800000 0.9892909983 0.0080077989 0.0016697415
1.900000 0.9889643903 0.0081332410 0.0016958980
2.000000 0.9884192583 0.0087360372 0.0018215897
2.100000 0.9879845632 0.0088393216 0.0018431260
2.200000 0.9877866119 0.0086977526 0.0018136068
2.300000 0.9873724716 0.0085082447 0.0017740917
2.400000 0.9868278336 0.0082211747 0.0017142334
2.500000 0.9869364851 0.0080871043 0.0016862778
2.600000 0.9865946997 0.0077211218 0.0016099652
2.700000 0.9866697594 0.0072952684 0.0015211686
2.800000 0.9865367790 0.0073340530 0.0015292558
2.900000 0.9865565772 0.0073612318 0.0015349229
3.000000 0.9864828531 0.0071047181 0.0014814361
4.000000 0.9858257127 0.0087593411 0.0018264489
5.000000 0.9841170185 0.0097950424 0.0020424075
6.000000 0.9813570945 0.0090356961 0.0018840729
7.000000 0.9793689028 0.0084819262 0.0017686039
8.000000 0.9760919965 0.0095551165 0.0019923795
9.000000 0.9754301503 0.0114362614 0.0023846253
10.000000 0.9739249769 0.0094621926 0.0019730035
11.000000 0.9751010337 0.0088094166 0.0018368903
12.000000 0.9751243771 0.0093746213 0.0019547437
13.000000 0.9753382636 0.0107006204 0.0022312336
14.000000 0.9732683722 0.0115336547 0.0024049333
15.000000 0.9717785837 0.0145427333 0.0030323695
16.000000 0.9692113278 0.0149251158 0.0031121018
17.000000 0.9686466670 0.0176086221 0.0036716515
18.000000 0.9679430437 0.0172130040 0.0035891594
19.000000 0.9674469420 0.0159225629 0.0033200839
20.000000 0.9671168057 0.0175242906 0.0036540672
21.000000 0.9663077683 0.0170506438 0.0035553050
22.000000 0.9649371615 0.0189665885 0.0039548071
23.000000 0.9631870096 0.0168865765 0.0035210946
24.000000 0.9642587457 0.0176359212 0.0036773438
25.000000 0.9609717914 0.0165684043 0.0034547511
26.000000 0.9613083070 0.0167663067 0.0034960166
27.000000 0.9597609681 0.0150840870 0.0031452496
28.000000 0.9607940520 0.0156299900 0.0032590782
29.000000 0.9597996954 0.0157561417 0.0032853827
30.000000 0.9584316248 0.0162747944 0.0033935292
40.000000 0.9528825818 0.0192344051 0.0040106507
50.000000 0.9492812977 0.0191192747 0.0039866444
60.000000 0.9387650070 0.0234751893 0.0048949153
70.000000 0.9299358475 0.0216043035 0.0045048087
80.000000 0.9250702429 0.0253504595 0.0052859362
90.000000 0.9208387480 0.0280369101 0.0058460999
100.000000 0.9153431558 0.0354139443 0.0073843178
110.000000 0.9124158950 0.0352892723 0.0073583219
120.000000 0.9064722029 0.0327663639 0.0068322592
130.000000 0.9035904923 0.0355234159 0.0074071442
140.000000 0.8995364798 0.0361869997 0.0075455110
150.000000 0.8989822814 0.0315561624 0.0065799147
160.000000 0.8981969889 0.0374282882 0.0078043376
170.000000 0.8954447613 0.0380960553 0.0079435766
180.000000 0.8923968392 0.0376880153 0.0078584944
190.000000 0.8905028507 0.0361124923 0.0075299752
200.000000 0.8874139983 0.0365385165 0.0076188074
210.000000 0.8834478844 0.0394811236 0.0082323834
220.000000 0.8802088634 0.0411449843 0.0085793223
230.000000 0.8799818791 0.0393950358 0.0082144328
240.000000 0.8795540330 0.0358510957 0.0074754702
250.000000 0.8801871604 0.0299172078 0.0062381691
260.000000 0.8740312542 0.0358580732 0.0074769251
270.000000 0.8743528869 0.0346535388 0.0072257623
280.000000 0.8674112470 0.0370959422 0.0077350387
290.000000 0.8676365008 0.0390474073 0.0081419473
300.000000 0.8663562462 0.0400343705 0.0083477433
400.000000 0.8540148953 0.0391333108 0.0081598594
500.000000 0.8282081226 0.0396100323 0.0082592627
600.000000 0.8286403089 0.0434743408 0.0090650267
700.000000 0.8208076961 0.0404894405 0.0084426320
800.000000 0.8163740157 0.0461945460 0.0096322287
900.000000 0.8041137040 0.0543956666 0.0113422805
1000.000000 0.7898751024 0.0490599786 0.0102297127
1100.000000 0.7822295452 0.0589045717 0.0122824523
1200.000000 0.7795543585 0.0618960643 0.0129062216
1300.000000 0.7782680277 0.0623276281 0.0129962089
1400.000000 0.7688941929 0.0658598144 0.0137327206
1500.000000 0.7632543073 0.0707829645 0.0147592684
1600.000000 0.7611061612 0.0716389856 0.0149377611
1700.000000 0.7560234338 0.0733681087 0.0152983082
1800.000000 0.7617459610 0.0745830350 0.0155516379
1900.000000 0.7550798341 0.0780516840 0.0162749011
2000.000000 0.7472134619 0.0777813402 0.0162185306
2100.000000 0.7543290665 0.0811603673 0.0169231064
2200.000000 0.7337830242 0.0829431338 0.0172948389
2300.000000 0.7244270604 0.0859843966 0.0179289861
2400.000000 0.7284686285 0.0758150371 0.0158085280
2500.000000 0.7271102864 0.0677943944 0.0141361084
2600.000000 0.7186367683 0.0620917968 0.0129470346
2700.000000 0.7187697135 0.0791999666 0.0165143346
2800.000000 0.7050944562 0.0764400329 0.0159388487
2900.000000 0.6964174391 0.0784772223 0.0163636320
3000.000000 0.7012683808 0.0768254009 0.0160192034
4000.000000 0.6760106851 0.0803762780 0.0167596125
5000.000000 0.6280763308 0.0730509782 0.0152321819
6000.000000 0.6154082483 0.0921700507 0.0192187841
7000.000000 0.5662900389 0.1061980867 0.0221438318
8000.000000 0.5552842026 0.1083362150 0.0225896624
9000.000000 0.5552350638 0.1200720779 0.0250367590
10000.000000 0.5398144514 0.1192798086 0.0248715594
11000.000000 0.5361787003 0.1176062717 0.0245226028
12000.000000 0.5236125237 0.1405360126 0.0293037843
13000.000000 0.4881274204 0.1316013021 0.0274407684
14000.000000 0.4779612000 0.1541514053 0.0321427900
15000.000000 0.4813187789 0.1823200921 0.0380163672
16000.000000 0.4629797166 0.1920914343 0.0400538329
